Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),RH (%),WS (m/s),TOT-RF (mm),SR (W/mt2),BP (mmHg)
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T06:00:00.000000+0000,46,108,3.9,27.9,18.1,22.4,7.1,89,1.8,0,51,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T06:15:00.000000+0000,46,108,3.4,32.2,19.9,19.7,8.3,89,1.6,0,53,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T06:30:00.000000+0000,46,108,4.9,30.5,20.1,19.9,8.6,90,1.8,0,58,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T06:45:00.000000+0000,69,151,8.2,26.6,20.8,19.7,7.6,90,1.6,0,77,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T07:00:00.000000+0000,69,151,6.2,30.4,21.2,18,7.3,89,1.9,0,103,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T07:15:00.000000+0000,69,151,5.8,32.8,22.1,18.7,10.4,88,2.1,0,138,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T07:30:00.000000+0000,69,151,4.2,32.5,20.7,20.3,14.1,86,2.3,0,124,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T07:45:00.000000+0000,88,160,5.1,29.8,20,20.9,17.4,86,1.8,0,102,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T08:00:00.000000+0000,88,160,6.1,32.7,22.4,18.9,23,85,1.8,0,137,719
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T08:15:00.000000+0000,88,160,4.8,32.6,21.2,20.3,24.4,84,1.6,0,201,727
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T08:30:00.000000+0000,88,160,5.3,28.7,19.5,22.2,23.2,82,1.9,0,238,748
site_5361,Tamil Nadu,Chennai,"Arumbakkam, Chennai - TNPCB",2024-01-02T08:45:00.000000+0000,81,160,4.3,28.6,18.7,23.5,21.1,80,1.6,0,219,756
