Station ID,State,City,Station Name,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T15:45:00.000000+0000,68.0,123.4,5.6,,0.48,9.75,28.51,0.3,2.5,,,,,,,29.05,,1.84,63.05,,0.0,253.44,1012.66,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T16:00:00.000000+0000,68.0,123.4,5.87,,1.29,9.27,28.4,0.31,3.01,,,,,,,28.98,,1.71,75.44,,0.0,223.41,1012.67,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T16:15:00.000000+0000,68.0,123.4,5.88,,1.38,8.96,27.88,0.23,2.52,,,,,,,28.85,,1.66,81.96,,0.0,171.71,1012.7,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T16:30:00.000000+0000,68.0,123.4,5.7,,1.28,8.78,28.21,0.33,1.87,,,,,,,28.65,,1.47,80.9,,0.0,124.28,1012.79,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T16:45:00.000000+0000,67.27,122.06,5.63,,,10.5,28.72,0.29,2.15,,,,,,,28.36,,1.53,78.47,,0.0,77.52,1012.85,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T17:00:00.000000+0000,67.0,121.6,5.72,,,11.84,28.13,0.34,2.58,,,,,,,28.11,,1.49,77.46,,0.0,46.1,1013.0,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T17:15:00.000000+0000,67.0,121.6,5.72,,,11.71,28.65,0.27,2.13,,,,,,,27.84,,1.33,70.52,,0.0,22.29,1013.17,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T17:30:00.000000+0000,67.0,121.6,5.86,,0.03,10.38,28.15,0.36,1.69,,,,,,,27.64,,1.46,75.81,,0.0,4.18,1013.29,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T17:45:00.000000+0000,65.53,119.0,5.91,,1.85,8.75,28.82,0.35,1.53,,,,,,,27.48,,1.27,74.33,,0.0,0.0,1013.46,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T18:00:00.000000+0000,65.0,118.0,5.72,0.74,2.44,7.99,28.5,0.35,1.95,,,,,,,27.33,,1.4,66.23,,0.0,0.0,1013.71,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T18:15:00.000000+0000,65.0,118.0,5.73,,1.24,9.13,28.81,0.33,1.93,,,,,,,27.26,,1.34,62.51,,0.0,0.0,1013.98,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T18:30:00.000000+0000,65.0,118.0,5.73,,0.38,9.51,28.16,0.34,2.35,,,,,,,27.22,,1.41,63.49,,0.0,0.0,1014.14,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T18:45:00.000000+0000,62.11,112.72,5.73,,0.75,9.43,28.08,0.37,2.08,,,,,,,27.19,,1.47,65.16,,0.0,0.0,1014.39,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T19:00:00.000000+0000,61.0,110.8,5.79,,,10.73,28.25,0.39,2.96,,,,,,,27.18,,1.41,65.22,,0.0,0.0,1014.63,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T19:15:00.000000+0000,61.0,110.8,5.38,,,12.15,28.04,0.3,2.21,,,,,,,27.16,,1.51,71.76,,0.0,0.0,1014.81,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T19:30:00.000000+0000,61.0,110.8,5.31,,,11.63,28.91,0.36,1.8,,,,,,,27.13,,1.3,72.29,,0.0,0.0,1015.05,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T19:45:00.000000+0000,55.13,100.24,5.45,,,11.19,27.54,0.31,2.29,,,,,,,27.11,,1.51,70.28,,0.0,0.0,1015.32,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T20:00:00.000000+0000,53.0,96.4,5.52,,,10.55,28.78,0.34,2.63,,,,,,,27.11,,1.22,80.01,,0.0,0.0,1015.53,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T20:15:00.000000+0000,53.0,96.4,5.72,,0.0,10.1,28.15,0.34,1.96,,,,,,,27.07,,1.37,71.33,,0.0,0.0,1015.68,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T20:30:00.000000+0000,53.0,96.4,5.89,,1.14,9.31,29.06,0.34,2.79,,,,,,,27.03,,1.56,48.4,,0.0,0.0,1015.78,
site_5618,Tamil Nadu,Chennai,"Gandhi Nagar_Ennore, Chennai - TNPCB",2024-01-01T20:45:00.000000+0000,50.07,91.12,5.86,,1.01,9.57,28.38,0.32,1.64,,,,,,,27.02,,1.14,90.24,,0.0,0.0,1015.91,
